role,company
https://www.linkedin.com//in/jutta-grabenhofer-1a109a7b/,microsoft
https://www.linkedin.com//in/btoorens/,microsoft
https://www.linkedin.com//in/joannamainguy/,microsoft
https://www.linkedin.com//in/asimhan/,microsoft
https://www.linkedin.com//in/jan-de-lange-44583599/,microsoft
https://www.linkedin.com//in/waldo-kuipers-3467891b/,microsoft
https://www.linkedin.com//in/sarabenhamron/,microsoft
https://www.linkedin.com//in/nooria-puri/,microsoft
https://www.linkedin.com//in/kshitinnagarkar/,microsoft
https://www.linkedin.com//in/dalilahaidar/,microsoft
https://www.linkedin.com//in/malteschulenburg/,microsoft
https://www.linkedin.com//in/nexhideti/,microsoft
https://www.linkedin.com//in/ramonboschsmit/,microsoft
https://www.linkedin.com//in/emily-lantz-swindler-00616810/,microsoft
https://www.linkedin.com//in/kariglio/,microsoft
https://www.linkedin.com//in/asantalobarreiro/,microsoft
https://www.linkedin.com//in/alex-bitiukov/,microsoft
https://www.linkedin.com//in/sofiapires1/,microsoft
https://www.linkedin.com//in/jscottrichter/,microsoft
https://www.linkedin.com//in/anja-von-h%C3%B6rsten/,microsoft
https://www.linkedin.com//in/redkiwi/,microsoft
https://www.linkedin.com//in/stevelippman/,microsoft
https://www.linkedin.com//in/seokmeigoh/,microsoft
https://www.linkedin.com//in/samiraakhan/,microsoft
https://www.linkedin.com//in/dmshowe/,microsoft
https://www.linkedin.com//in/sebafriedrich/,microsoft
https://www.linkedin.com//in/ngemelos/,microsoft
https://www.linkedin.com//in/niraj-nirmal-6a202278/,microsoft
https://www.linkedin.com//in/nathaniel-foote/,microsoft
https://www.linkedin.com//in/love-andersson-77a91a56/,microsoft
https://www.linkedin.com//in/lailamoretti/,microsoft
https://www.linkedin.com//in/mariemejamme/,microsoft
https://www.linkedin.com//in/allisongirvin/,microsoft
https://www.linkedin.com//in/tashbettridge/,microsoft
https://www.linkedin.com//in/yasminewael/,microsoft
https://www.linkedin.com//in/neeratalbert/,microsoft
https://www.linkedin.com//in/ignaciolagofernandez/,microsoft
https://www.linkedin.com//in/ash-k-7a383520/,microsoft
https://www.linkedin.com//in/asarshad90/,microsoft
https://www.linkedin.com//in/dana-maman/,microsoft
https://www.linkedin.com//in/anaefernandez/,microsoft
https://www.linkedin.com//in/mvpavani/,microsoft
https://www.linkedin.com//in/swatidalal/,microsoft
https://www.linkedin.com//in/christine-huang-7498878b/,microsoft
https://www.linkedin.com//in/robertocroci/,microsoft
https://www.linkedin.com//in/kesava-vish-viswanathan-88ba182/,microsoft
https://www.linkedin.com//in/louis-kotsakis-a38a694/,microsoft
https://www.linkedin.com//in/leslie-esparza-762374/,microsoft
https://www.linkedin.com//in/rosie-mastrandrea/,microsoft
https://www.linkedin.com//in/jackkjia/,microsoft
https://www.linkedin.com//in/kevinmartins/,microsoft
https://www.linkedin.com//in/salma-cheikhrouhou/,microsoft
https://www.linkedin.com//in/mitjakolbe/,microsoft
https://www.linkedin.com//in/kamaldeepsoni/,microsoft
https://www.linkedin.com//in/joana-reicherts/,microsoft
https://www.linkedin.com//in/nicodegolia/,microsoft
https://www.linkedin.com//in/rikironsmclean/,microsoft
https://www.linkedin.com//in/srikanth-dakshinamoorthy/,microsoft
https://www.linkedin.com//in/paul-clark-msft/,microsoft
https://www.linkedin.com//in/kiran-prasad-0959a655/,microsoft
https://www.linkedin.com//in/nisrine-jamai/,microsoft
https://www.linkedin.com//in/daria-raleva-52b027a/,microsoft
https://www.linkedin.com//in/akiko-kubota-603a3213b/,microsoft
https://www.linkedin.com//in/harshulimarathe/,microsoft
https://www.linkedin.com//in/tmksinger/,microsoft
https://www.linkedin.com//in/martina-chalon-31003a34/,microsoft
https://www.linkedin.com//in/ranganathansrikanth/,microsoft
https://www.linkedin.com//in/drzilenovski/,microsoft
https://www.linkedin.com//in/saurabh-shendge/,microsoft
https://www.linkedin.com//in/valeriateran/,microsoft
https://www.linkedin.com//in/manusreenivasachar/,microsoft
https://www.linkedin.com//in/aakash-garg-36b89137/,microsoft
